,Car_type,Fuel_type,Drive,Fuel_consumtion,vehicle_brand,Transmission,cylinder,cubic_capacity
31051,Midsize Cars,Regular,All-Wheel Drive,10.3003125,Subaru,Auto(AV-S7),4.0,2.0
31052,Standard Pickup Trucks,Regular,4-Wheel or All-Wheel Drive,27.4675,GMC,Manual 4-spd,8.0,5.7
31053,Midsize Cars,Regular,All-Wheel Drive,10.987,Subaru,Auto(AV-S7),4.0,2.0
31054,Large Cars,Regular,Rear-Wheel Drive,14.3308695652174,Chrysler,Automatic 8-spd,6.0,3.6
31055,Large Cars,Regular,All-Wheel Drive,15.6957142857143,Chrysler,Automatic 8-spd,6.0,3.6
31056,Large Cars,Midgrade,Rear-Wheel Drive,17.3478947368421,Chrysler,Automatic 8-spd,8.0,5.7
31057,Large Cars,Regular,Rear-Wheel Drive,14.3308695652174,Dodge,Automatic 8-spd,6.0,3.6
31058,Large Cars,Regular,All-Wheel Drive,15.6957142857143,Dodge,Automatic 8-spd,6.0,3.6
31059,Large Cars,Midgrade,Rear-Wheel Drive,17.3478947368421,Dodge,Automatic 8-spd,8.0,5.7
31060,Large Cars,Premium,Rear-Wheel Drive,18.3116666666667,Dodge,Automatic 8-spd,8.0,6.4
31061,Large Cars,Premium,Rear-Wheel Drive,20.600625,Dodge,Automatic 8-spd,8.0,6.2
31062,Large Cars,Premium,Rear-Wheel Drive,18.3116666666667,Dodge,Automatic 8-spd,8.0,6.4
31063,Standard Pickup Trucks,Diesel,4-Wheel or All-Wheel Drive,23.8865625,GMC,Automatic 4-spd,8.0,6.2
31064,Small Station Wagons,Premium,Front-Wheel Drive,11.3658620689655,Nissan,Auto(AV-S7),4.0,1.6
31065,Small Station Wagons,Premium,Front-Wheel Drive,11.3658620689655,Nissan,Manual 6-spd,4.0,1.6
31066,Small Station Wagons,Premium,All-Wheel Drive,11.7717857142857,Nissan,Auto(AV-S7),4.0,1.6
31067,Small Station Wagons,Premium,Front-Wheel Drive,11.7717857142857,Nissan,Manual 6-spd,4.0,1.6
31068,Small Station Wagons,Premium,All-Wheel Drive,12.6773076923077,Nissan,Auto(AV-S8),4.0,1.6
31069,Small Station Wagons,Regular,All-Wheel Drive,10.6325806451613,Subaru,Auto(AV-S7),4.0,2.0
31070,Small Station Wagons,Regular,All-Wheel Drive,10.987,Subaru,Auto(AV-S7),4.0,2.0
31071,Special Purpose Vehicle 2WD,Premium,Rear-Wheel Drive,14.9822727272727,Mercedes-Benz,Automatic 7-spd,4.0,2.0
